"자치구별(1)","자치구별(2)",항목,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","자치구별(2)",항목,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명
"합계","서초구",사망자 (명),18,15,1,2,-,-,-,14,12,1,1,-,-,-,9,6,-,3,-,-,-,8,6,-,1,-,1,-,8,4,2,2,-,-,-,7,4,3,-,-,-,-
"합계","서초구",부상자 (명),3640,3284,115,192,1,30,18,3530,3234,86,166,-,6,38,3075,2724,101,209,-,5,36,2932,2563,121,211,-,17,20,3391,3057,99,181,-,10,44,3319,2935,135,218,-,13,18
"합계","강남구",발생건수 (건),3459,3004,87,191,-,13,164,3722,3308,97,206,1,1,109,3752,3185,128,282,-,6,151,3820,3308,109,216,-,38,149,3709,3258,73,201,-,15,162,3926,3408,83,266,-,5,164
"합계","강남구",사망자 (명),20,15,1,4,-,-,-,14,12,-,2,-,-,-,17,15,1,1,-,-,-,10,8,1,1,-,-,-,16,11,-,3,-,1,1,7,7,-,-,-,-,-
"합계","강남구",부상자 (명),4967,4315,119,279,-,20,234,5182,4597,133,300,2,1,149,5189,4357,179,424,-,9,220,5175,4458,146,302,-,54,215,5052,4451,102,270,-,17,212,5229,4549,100,353,-,8,219
"합계","송파구",발생건수 (건),2860,2484,151,186,-,9,30,2892,2657,65,139,1,1,29,2595,2356,59,164,-,4,12,2607,2292,78,147,-,13,77,2581,2238,44,129,-,10,160,2614,2292,80,198,-,17,27
"합계","송파구",사망자 (명),27,22,2,3,-,-,-,13,9,1,3,-,-,-,11,10,-,1,-,-,-,14,14,-,-,-,-,-,9,8,1,-,-,-,-,10,6,2,2,-,-,-
"합계","송파구",부상자 (명),3932,3401,221,264,-,10,36,4003,3697,85,183,1,1,36,3509,3169,88,229,-,5,18,3509,3085,103,209,-,20,92,3594,3122,59,168,-,14,231,3603,3181,92,272,-,27,31
"합계","강동구",발생건수 (건),1418,1239,67,97,-,10,5,1414,1222,89,98,-,3,2,1268,1133,39,94,1,1,-,1047,949,27,55,-,14,2,1151,1037,29,69,-,4,12,1185,1064,38,69,-,6,8
"합계","강동구",사망자 (명),12,10,1,1,-,-,-,11,10,-,1,-,-,-,7,7,-,-,-,-,-,9,5,2,2,-,-,-,7,5,-,2,-,-,-,4,3,1,-,-,-,-
"합계","강동구",부상자 (명),1922,1677,109,118,-,11,7,1910,1666,111,127,-,3,3,1600,1425,55,118,1,1,-,1413,1271,50,68,-,22,2,1553,1391,40,96,-,11,15,1522,1363,49,91,-,9,10
