시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명
시도,시군구,사고년도,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명
서울,강북구,사망[명],0,0,0,0,6,5,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0
서울,강북구,부상[명],1,0,0,0,752,567,51,225,0,37,1,0,0,0,854,549,48,222,0,32,0,0,0,0,686,441,30,216,0,47,1,0,0,0,615,430,29,187,0,40,4,0,0,0,590,391,39,199,0,43,1,1,0,0,573,387,21,212,0,22
서울,금천구,사고[건],4,9,2,0,486,239,48,124,0,20,1,10,5,1,455,241,37,141,0,29,3,10,5,0,373,253,35,109,0,22,4,15,5,1,420,234,25,99,0,24,5,9,4,2,462,193,45,95,0,29,3,18,8,2,325,237,50,138,0,95
서울,금천구,사망[명],0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,3,0,2,0,1,0,0,0,0,2,3,0,1,0,0,0,1,0,0,5,6,1,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,3,1,0,0,0
서울,금천구,부상[명],4,15,2,0,659,397,54,173,0,22,1,16,8,1,688,380,38,182,0,39,5,11,6,0,498,355,37,145,0,27,9,21,9,1,605,336,35,126,0,25,8,19,5,2,621,269,52,142,0,34,4,29,10,5,436,358,63,188,0,139
서울,용산구,사고[건],5,48,13,88,710,206,27,187,0,46,4,33,1,69,563,208,27,155,0,127,3,26,3,6,467,160,13,113,0,99,9,31,6,2,505,167,22,91,0,181,6,27,7,4,462,142,30,118,0,218,4,39,15,3,415,155,21,143,0,201
서울,용산구,사망[명],1,0,0,0,8,2,3,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,5,3,0,2,0,2,0,1,0,0,4,0,0,0,0,0,0,1,0,0,6,1,0,1,0,2,0,1,0,0,5,0,0,3,0,2
서울,용산구,부상[명],6,82,19,120,987,281,28,259,0,70,6,43,1,100,771,286,33,224,0,150,3,38,3,12,622,215,14,148,0,123,15,48,10,3,687,228,23,123,0,232,7,35,11,4,615,197,32,153,0,276,6,58,24,6,573,206,24,194,0,275
서울,성동구,사고[건],5,36,2,1,563,225,43,173,0,95,0,33,4,3,548,280,48,147,0,28,1,26,10,0,594,242,47,155,0,44,3,35,4,0,562,224,46,129,0,54,2,33,6,2,502,199,45,118,0,41,6,36,6,4,483,167,30,117,0,70
서울,성동구,사망[명],0,0,0,0,5,1,1,1,0,1,0,0,0,0,7,1,3,2,0,0,0,0,0,0,4,3,1,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,1,0,0,4,1,0,0,0,0
